"COP","country","hope","despair","beforeHope","duringHope","afterHope","beforeDespair","duringDespair","afterDespair","docs","totalWords"
"COP21","Australia",651.205301039643,11.4246544042043,759.276734676169,691.856183185663,341.565948502365,21.6936209907477,0,0,373,175060
"COP21","Bangladesh",365.125835640265,26.5546062283829,298.822012173065,643.126205861636,275.750500946743,15.7274743248982,61.2501148439653,18.3833667297829,217,150633
"COP21","Canada",676.118807596871,13.5223761519374,681.973175721755,692.420876489426,640.571794612454,11.964441679329,0,33.7143049796029,259,147903
"COP21","China",573.685119276377,11.139516879153,497.860545224576,630.032879840917,624.632569077013,0,19.6885274950286,18.3715461493239,366,179541
"COP21","Hong.Kong",807.804635555832,62.1388181196794,248.015873015873,1678.47817978366,454.201362604088,0,186.497575531518,0,27,16093
"COP21","India",385.490334186806,0,362.335250690702,515.825980069362,189.505201917793,0,0,0,453,210122
"COP21","Ireland",537.265319523625,29.848073306868,830.951946656938,539.356143603573,288.899462986881,60.8013619505077,0,33.9881721161036,271,167515
"COP21","Nigeria",312.660928419039,0,423.796154049902,321.33676092545,277.046682365979,0,0,0,137,108744
"COP21","South.Africa",387.775162549937,13.5270405540676,400.217554157645,421.306048751129,349.058883548586,0,40.1243855953456,13.4253416749456,321,221778
"COP21","UAE",183.915733154991,0,141.68319637291,252.93586269196,176.50692789692,0,0,0,230,119620
"COP21","UK",402.522474171475,0,516.478111165765,301.604536132223,486.954738838485,0,0,0,359,163966
"COP21","USA",454.570652475193,5.5435445423804,319.883988740084,686.134272988405,181.474088092707,0,11.6293944574306,0,327,180390
"COP22","Australia",414.532318716134,0,537.608132544841,273.000273000273,279.68116347364,0,0,0,39,33773
"COP22","Bangladesh",207.655568630165,0,68.6153423905585,125.297581756672,336.765130376215,0,0,0,80,43341
"COP22","Canada",353.195685126047,0,359.59463877084,383.891896042075,265.205091937765,0,0,0,107,67951
"COP22","China",372.188646473956,17.7232688797122,94.4911650760654,544.525425148697,527.101818501274,0,41.8865711652844,0,142,56423
"COP22","Hong.Kong",0,0,0,0,0,0,0,0,2,1608
"COP22","India",307.739652254193,4.96354277829344,202.627928363234,429.971546000632,257.568212648316,15.5867637202488,0,0,442,201469
"COP22","Ireland",854.04389785635,0,0,255.950857435372,1838.61082737487,0,0,0,15,11709
"COP22","Nigeria",320.128051220488,0,505.401478299324,81.9672131147541,317.258883248731,0,0,0,59,37485
"COP22","South.Africa",450.04500450045,39.1343482174304,362.428269405014,568.117259402341,413.003717033453,0,113.623451880468,0,74,51106
"COP22","UAE",75.1399481534358,0,91.6506278068005,136.920654480728,36.0802424592293,0,0,0,71,53234
"COP22","UK",325.70977588662,4.17576635752076,175.898916755838,427.735254389914,333.395073161697,14.6582430629865,0,0,403,239477
"COP22","USA",405.835709380008,15.6090657453849,330.875401777274,491.016627608526,340.562824879011,70.9018718094158,0,0,307,192196
"COP23","Australia",525.911242364173,0,407.63084950269,920.069005175388,0,0,0,0,48,24719
"COP23","Bangladesh",329.258756225048,0,385.455479892073,206.121817994435,440.463955366319,0,0,0,45,24297
"COP23","Canada",212.585034013605,0,163.880694854146,172.751353218934,352.071353127567,0,0,0,59,32928
"COP23","China",763.164589163063,0,712.301445971935,1193.05856832972,495.049504950495,0,0,0,77,35379
"COP23","Hong.Kong",0,0,0,0,0,0,0,0,5,1313
"COP23","India",269.160220113247,0,216.661250135413,340.139359954907,174.520069808028,0,0,0,415,200624
"COP23","Ireland",522.397805929215,0,446.030330062444,369.549150036955,738.27980804725,0,0,0,17,7657
"COP23","Nigeria",102.965403624382,0,272.331154684096,0,0,0,0,0,17,9712
"COP23","South.Africa",584.780453077725,50.8504741806717,277.752059994445,731.18504204314,639.454332303101,92.5840199981483,0,106.575722050517,49,39331
"COP23","UAE",354.526116757268,0,210.482003788676,0,630.318310746927,0,0,0,14,8462
"COP23","UK",297.901038929873,24.8250865774894,407.36083314146,346.855895827613,190.601607984475,70.8453622854714,0,34.654837815359,303,241691
"COP23","USA",334.789963349309,5.87350812893525,365.552746215006,276.110444177671,400.61809649173,0,12.0048019207683,0,287,170256
"COP24","Australia",385.67308337246,50.3051847877121,368.215627071213,328.690578906282,460.447555023483,0,41.0863223632853,92.0895110046966,83,59636
"COP24","Bangladesh",536.503712605691,0,713.351563428843,552.587953582612,410.728221136074,0,0,0,58,46598
"COP24","Canada",225.73755404678,0,244.606428256935,212.494687632809,351.347898300754,0,0,0,142,115178
"COP24","China",485.86649082927,0,505.26923632164,486.488877095219,472.500472500472,0,0,0,99,57629
"COP24","Hong.Kong",339.904826648538,0,0,548.847420417124,0,0,0,0,5,2942
"COP24","India",290.924106346838,0,172.777884430793,387.638217251839,226.899849897022,0,0,0,428,213114
"COP24","Ireland",527.766375417815,29.3203541898786,496.770988574267,467.235136082233,601.162247010888,0,58.4043920102792,0,56,34106
"COP24","Nigeria",407.927867099914,28.1329563517182,530.710444381545,420.895103586962,233.165454206305,0,0,93.2661816825219,87,71091
"COP24","South.Africa",517.491202649555,0,712.573686597137,229.121319738802,648.718780408693,0,0,0,53,48310
"COP24","UAE",45.0085516248087,0,0,269.179004037685,0,0,0,0,23,22218
"COP24","UK",396.606255334103,20.0813293840052,366.357879311247,336.883567856125,488.540843451397,52.3368399016067,0,28.7376966736116,332,199190
"COP24","USA",485.505538534056,4.71364600518501,377.358490566038,465.038044069775,542.948851024417,0,0,15.9690838536593,306,212150
"COP25","Australia",588.300493660849,8.5260941110268,784.860905206244,536.83268714584,612.584230331671,0,0,14.5853388174207,119,117287
"COP25","Bangladesh",218.493270407271,0,0,430.755976739177,240.192153722978,0,0,0,73,45768
"COP25","Canada",572.227873855544,55.6332655137335,594.760931964521,637.853293742439,479.754365764728,0,43.9898823270648,119.938591441182,175,125824
"COP25","China",743.445937133168,26.0858223555498,782.608695652174,776.556177708751,694.672955284999,43.4782608695652,0,36.5617344886841,150,76670
"COP25","Hong.Kong",286.163971955931,0,0,0,421.585160202361,0,0,0,10,6989
"COP25","India",203.030774281617,17.279214832478,136.038997846049,252.920748256306,177.330117747198,0,38.910884347124,0,437,231492
"COP25","Ireland",653.614189369856,29.709735880448,435.9197907585,688.757939848473,729.394602479942,0,76.5286599831637,0,69,33659
"COP25","Nigeria",349.877542859999,24.9912530614285,433.500953702098,94.0291490362012,448.304847296161,0,0,56.0381059120202,65,40014
"COP25","South.Africa",681.624538483386,142.005112184039,326.370757180157,347.753512310474,1156.14798694233,0,69.5507024620949,272.034820457018,49,35210
"COP25","UAE",151.469251741896,0,236.016049091338,109.709270433352,154.942671211652,0,0,0,31,19806
"COP25","UK",509.45030312293,40.7560242498344,379.684638406218,630.206892311476,507.945722371381,0,107.596298687325,14.5127349248966,355,196290
"COP25","USA",452.599444872926,27.7101700942608,613.287904599659,387.480504887098,454.995054401583,34.0715502555366,29.0610378665323,39.564787339268,343,216527
"COP26","Australia",541.660779049503,7.85015621810874,574.410033028577,560.950133467446,517.454507124582,47.8675027523814,0,0,363,254772
"COP26","Bangladesh",500.46495899907,6.76303998647392,678.020824925337,308.134757600657,570.374098305653,16.1433529744128,0,0,437,295725
"COP26","Canada",561.856206430132,52.0237228176048,620.521237839785,407.01145058881,685.590921025761,20.016814123864,54.2681934118413,72.9352043644426,286,192220
"COP26","China",603.743207888911,11.8381021154688,759.19767989189,459.163175113356,490.665669758639,15.1839535978378,0,23.3650318932685,301,168946
"COP26","Hong.Kong",268.545431568305,23.6951851383799,689.096068098906,213.401621852326,200.878844946642,0,47.4225826338502,25.1098556183302,95,126608
"COP26","India",316.266647924939,0,497.945972861944,304.051177894263,256.488201542729,0,0,0,461,227656
"COP26","Ireland",805.350197440694,44.5354947893471,1011.98507818081,808.180768596404,630.233186278923,39.6856893404238,41.23371268349,72.0266498604484,483,269448
"COP26","Nigeria",395.384343996545,12.1656721229706,180.061220815077,231.68451189038,523.061549511289,0,0,31.2275551947038,472,328794
"COP26","South.Africa",435.543080741391,17.2834555849758,485.615480832904,558.659217877095,349.892480956373,29.4312412626002,13.9664804469274,14.5788533731822,433,289294
"COP26","UAE",214.091502708258,7.13638342360858,303.655250072751,210.288860425548,207.341549587805,25.3046041727292,0,0,406,280254
"COP26","UK",631.181461926036,21.954137806123,617.011899515205,780.361641880894,563.673416294498,0,0,26.0156961366691,355,182198
"COP26","USA",526.526731054861,11.7879118892879,449.236298292902,524.17532760958,710.211001397512,0,0,11.4550161515728,361,254498
"COP27","Australia",119.970903259412,13.6675712574014,254.487794373862,174.459176552687,90.7391229114175,0,45.5110895354835,6.33063648219192,398,658493
"COP27","Bangladesh",554.77932111449,0,553.510641242078,466.105398083141,577.549091672792,0,0,0,239,146004
"COP27","Canada",581.983322838552,28.6221306314042,341.374601729631,720.310871007487,680.773812900664,0,37.9110984740783,56.7311510750553,379,104814
"COP27","China",704.757394314581,5.63805915451665,381.237468583209,989.285279435042,777.91863547309,14.1199062438225,0,0,312,177366
"COP27","Hong.Kong",710.195747702961,88.7744684628701,523.971705527902,153.327200245324,993.487139860912,0,0,220.774919969092,24,22529
"COP27","India",387.192203950231,26.1028452101279,322.170714682035,373.932553002765,481.886240426814,0,8.69610588378524,86.051114361931,404,229860
"COP27","Ireland",730.669201015784,76.6436224841731,854.676504942879,593.045758162182,1034.64492867221,56.9784336628586,93.6388039203446,94.0586298792914,331,195711
"COP27","Nigeria",277.766347063907,3.4292141612828,300.423931547851,198.225122747095,377.472444511551,0,15.2480863651612,0,458,291612
"COP27","South.Africa",396.051466721692,19.9689815153794,459.264220446826,378.490391075197,388.236435989518,0,28.3867793306397,48.5295544986897,444,300466
