"Genre","FREQ","PER.MIL.ROUND"
"Blogs",5657,45.53
"Academic Journals",4595,38.36
"Popular Magazines",3495,27.72
"Newspapers",1964,16.88
"Unscripted TV+Radio",2052,16.27
"Movies",112,1.76
"Written Fiction",117,0.99
"Scripted TV",50,0.78
