RANK	SECTION	PER.MIL	FREQ	SIZE
2	2019	52.06	1298	24934657
3	2016	36.93	875	23695797
4	2018	31.89	800	25086641
5	2017	31.74	786	24766356
6	2011	29.29	751	25636361
7	2008	27.61	665	24082614
8	2013	26.15	635	24280628
9	2009	25.29	609	24082494
10	2015	25.28	615	24329627
11	2010	23.21	559	24082934
12	2014	22.50	542	24087093
13	2007	19.72	487	24690690
14	2004	14.46	363	25097903
15	1997	13.15	324	24644381
16	2006	12.17	305	25064550
17	2005	10.39	261	25130658
18	1998	9.83	246	25037330
19	2000	7.69	193	25095795
20	2002	7.42	184	24798572
21	2003	6.19	156	25185875
22	2001	5.56	136	24446361
23	1992	5.17	123	23803545
24	1999	3.80	96	25293970
25	1995	3.35	86	25649369
26	1996	2.85	70	24585307
27	1993	2.61	64	24545643
28	1994	2.36	59	25002985
29	1991	2.16	52	24047702
30	1990	1.90	45	23707141
