"corpus","preloaded/sibol_corpus"
"subcorpus","###6156604904017581684###"
Item,Frequency
"women",72964
"race",37836
"household",9996
"equity",9636
"households",9210
"gender",7532
"affordable",3914
"inequality",2974
"consumption",2896
"minorities",1908
"inequalities",1744
"consumed",1570
"cooling",1121
"consuming",809
"affordability",751
"inequity",209
