Num,ID,Sustainability,Security,Accessibility
1,COP22_UK342,5,0,7
2,COP26_UK276,4,2,0
3,COP24_UK253,8,2,4
4,COP25_UK223,9,5,3
5,COP25_UK61,3,3,0
6,COP25_UK221,6,2,0
7,COP22_UK55,8,0,5
8,COP22_UK192,9,9,8
9,COP22_UK294,9,8,8
10,COP22_UK131,10,7,7
11,COP26_UK99,0,0,0
12,COP26_UK244,0,1,0
13,COP22_UK273,8,5,5
14,COP21_UK7,10,5,6
15,COP21_UK26,8,8,8
16,COP26_UK299,8,0,0
17,COP26_UK165,10,3,9
18,COP21_UK255,8,0,0
19,COP22_UK9,9,8,9
20,COP23_UK118,10,0,0
21,COP22_UK225,0,0,0
22,COP21_UK305,8,7,9
23,COP25_UK166,7,0,5
24,COP24_UK77,10,0,0
25,COP24_UK269,10,7,0
26,COP26_UK190,10,0,0
27,COP26_UK125,0,0,0
28,COP25_UK86,8,0,0
29,COP26_UK23,8,1,8
30,COP23_UK156,10,8,10
31,COP25_UK322,4,2,3
32,COP21_UK100,10,9,10
33,COP21_UK188,1,1,1
34,COP21_UK305,10,7,10
35,COP21_UK40,8,0,0
36,COP23_UK171,10,4,7
37,COP23_UK79,3,0,0
38,COP26_UK299,8,3,0
39,COP25_UK2,4,0,7
40,COP22_UK100,9,0,2
