Num,ID,Sustainability,Security,Accessibility
1,COP26_UK324,7,0,0
2,COP22_UK21,8,0,1
3,COP22_UK253,8,0,0
4,COP23_UK160,7,0,0
5,COP21_UK40,7,0,0
6,COP24_UK87,7,0,0
7,COP25_UK169,8,0,0
8,COP21_UK242,5,0,0
9,COP21_UK266,6,0,0
10,COP23_UK5,6,0,0
11,COP25_UK2,8,0,0
12,COP26_UK321,8,0,0
13,COP26_UK299,8,0,0
14,COP21_UK92,6,0,0
15,COP25_UK84,8,0,0
16,COP22_UK131,8,1,7
17,COP23_UK82,6,0,0
18,COP26_UK60,7,0,2
19,COP23_UK222,2,0,1
20,COP23_UK45,6,0,0
21,COP24_UK66,6,0,0
22,COP21_UK188,7,0,0
23,COP26_UK59,6,0,2
24,COP25_UK26,0,3,1
25,COP21_UK305,8,5,3
26,COP21_UK223,3,0,0
27,COP22_UK100,4,0,0
28,COP22_UK87,6,8,3
29,COP25_UK336,0,0,0
30,COP21_UK25,8,0,0
31,COP23_UK79,5,0,0
32,COP24_UK104,6,2,0
33,COP21_UK350,3,0,0
34,COP23_UK171,7,0,0
35,COP21_UK158,6,5,0
36,COP25_UK61,2,0,0
37,COP25_UK41,7,0,0
38,COP22_UK240,8,0,0
39,COP26_UK243,0,0,0
40,COP23_UK200,3,0,0
