Num,ID,Sustainability,Security,Accessibility
1,COP26_UK87,6,6,5
2,COP25_UK318,6,6,0
3,COP21_UK305,5,7,6
4,COP21_UK40,7,8,0
5,COP24_UK86,2,0,0
6,COP22_UK319,8,8,5
7,COP26_UK343,4,0,0
8,COP23_UK171,7,7,0
9,COP22_UK100,6,0,0
10,COP23_UK58,8,0,0
11,COP26_UK299,8,8,8
12,COP21_UK83,8,0,0
13,COP24_UK72,8,2,0
14,COP24_UK320,0,0,0
15,COP24_UK219,9,2,2
16,COP23_UK149,7,8,0
17,COP23_UK122,8,9,0
18,COP26_UK20,9,4,0
19,COP21_UK202,8,7,4
20,COP21_UK217,5,0,0
21,COP23_UK88,8,8,7
22,COP21_UK21,6,7,9
23,COP24_UK98,5,5,0
24,COP22_UK73,0,0,0
25,COP24_UK52,5,7,7
26,COP23_UK92,5,3,4
27,COP26_UK116,8,5,3
28,COP25_UK227,7,6,4
29,COP24_UK270,6,8,6
30,COP24_UK69,7,6,4
31,COP25_UK2,0,0,0
32,COP21_UK188,8,4,4
33,COP24_UK119,4,5,5
34,COP21_UK155,4,6,3
35,COP21_UK123,8,3,0
36,COP26_UK327,6,4,0
37,COP25_UK31,5,0,0
38,COP26_UK253,0,0,0
39,COP23_UK79,6,0,0
40,COP25_UK346,5,0,0
