Num,ID,Sustainability,Security,Accessibility
1,COP22_UK70,6,2,4
2,COP24_UK97,0,0,0
3,COP26_UK40,0,0,0
4,COP25_UK16,5,0,1
5,COP23_UK257,4,1,1
6,COP24_UK10,8,6,2
7,COP23_UK237,0,0,0
8,COP24_UK295,5,1,3
9,COP21_UK304,2,0,0
10,COP25_UK322,1,0,0
11,COP21_UK81,3,3,5
12,COP26_UK299,3,1,1
13,COP21_UK40,7,0,0
14,COP25_UK303,6,3,1
15,COP24_UK54,4,0,0
16,COP23_UK7,5,3,3
17,COP24_UK185,1,0,0
18,COP22_UK100,3,2,0
19,COP25_UK219,0,0,0
20,COP23_UK173,0,0,0
21,COP25_UK21,2,7,1
22,COP22_UK111,5,4,0
23,COP23_UK171,5,4,3
24,COP23_UK79,1,1,1
25,COP26_UK246,1,0,0
26,COP24_UK161,7,2,0
27,COP25_UK2,1,1,1
28,COP21_UK233,0,0,0
29,COP25_UK122,1,0,0
30,COP24_UK151,3,3,3
31,COP21_UK188,1,1,1
32,COP21_UK305,7,1,5
33,COP26_UK322,5,2,1
34,COP21_UK48,5,5,5
35,COP21_UK340,0,0,0
36,COP23_UK210,1,0,0
37,COP26_UK165,4,3,1
38,COP23_UK90,1,1,1
39,COP22_UK290,0,0,0
40,COP21_UK315,6,0,0
