Num,ID,Sustainability,Security,Accessibility
1,COP26_UK206,7,2,2
2,COP22_UK100,2,0,0
3,COP25_UK155,0,0,0
4,COP21_UK188,2,0,0
5,COP21_UK62,7,3,3
6,COP23_UK79,4,0,0
7,COP23_UK171,6,0,0
8,COP26_UK208,5,0,0
9,COP25_UK353,3,2,1
10,COP21_UK305,7,2,1
11,COP25_UK260,0,0,0
12,COP23_UK47,1,0,0
13,COP21_UK283,1,0,0
14,COP21_UK336,1,0,0
15,COP25_UK86,2,0,0
16,COP22_UK358,2,0,0
17,COP25_UK2,1,1,1
18,COP24_UK106,6,4,1
19,COP21_UK312,7,3,1
20,COP26_UK122,0,0,0
21,COP26_UK299,5,0,0
22,COP22_UK98,5,0,0
23,COP24_UK33,5,0,0
24,COP21_UK147,1,0,0
25,COP26_UK135,8,0,0
26,COP26_UK233,4,0,0
27,COP24_UK31,3,0,0
28,COP25_UK65,5,0,1
29,COP23_UK177,4,0,0
30,COP21_UK40,7,0,0
31,COP24_UK170,1,0,0
32,COP22_UK38,3,5,8
33,COP21_UK228,4,0,0
34,COP22_UK235,4,0,0
35,COP22_UK191,3,0,0
36,COP23_UK159,6,8,3
37,COP24_UK260,5,0,1
38,COP23_UK203,3,0,0
39,COP26_UK160,2,0,0
40,COP22_UK245,8,1,0
