Num,ID,Sustainability,Security,Accessibility
1,COP25_UK298,10,0,3
2,COP21_UK40,10,0,0
3,COP26_UK345,3,0,0
4,COP22_UK214,8,8,7
5,COP21_UK238,3,9,7
6,COP25_UK75,2,0,2
7,COP26_UK213,6,0,3
8,COP24_UK230,8,4,6
9,COP22_UK283,8,0,3
10,COP26_UK30,5,0,0
11,COP21_UK131,8,4,8
12,COP22_UK140,9,2,0
13,COP25_UK56,5,0,2
14,COP23_UK87,8,0,3
15,COP21_UK305,7,7,7
16,COP23_UK18,8,6,8
17,COP23_UK79,0,0,0
18,COP21_UK334,3,0,0
19,COP23_UK8,0,2,2
20,COP24_UK152,1,0,0
21,COP24_UK73,3,1,1
22,COP22_UK9,5,8,8
23,COP23_UK28,1,0,0
24,COP24_UK224,5,4,3
25,COP21_UK188,2,1,1
26,COP22_UK289,0,0,0
27,COP26_UK299,5,0,0
28,COP25_UK288,2,2,0
29,COP21_UK353,0,0,0
30,COP23_UK171,5,5,3
31,COP25_UK339,1,0,0
32,COP22_UK169,8,8,8
33,COP25_UK14,6,5,5
34,COP23_UK118,2,0,0
35,COP25_UK335,3,0,0
36,COP22_UK100,4,2,3
37,COP22_UK132,0,0,0
38,COP21_UK104,2,0,0
39,COP25_UK2,0,0,0
40,COP25_UK133,2,4,5
