# Chart section by year "COP 1?"
Year	FREQ	SIZE	PER MIL	
2010 	19 	244.1 	0.08 	
2011 	137 	304.8 	0.45 	
2012 	90 	371.3 	0.24 	
2013 	63 	401.5 	0.16 	
2014 	15 	429.4 	0.03 	
2015 	22 	512.5 	0.04 	
2016 	56 	1531.3 	0.04 	
2017 	57 	1746.5 	0.03 	
2018 	25 	1569.1 	0.02 	
2019 	90 	1987.5 	0.05 	
2020 	60 	2607.8 	0.02 	
2021 	69 	2449.2 	0.03 	
2022 	0 	10.8 	0.00 	
