# Chart search by year "COP 2?"
Year	FREQ	SIZE	PER MIL	
2010 	2 	244.1 	0.01 	
2011 	29 	304.8 	0.10 	
2012 	43 	371.3 	0.12 	
2013 	60 	401.5 	0.15 	
2014 	109 	429.4 	0.25 	
2015 	487 	512.5 	0.95 	
2016 	734 	1531.3 	0.48 	
2017 	336 	1746.5 	0.19 	
2018 	272 	1569.1 	0.17 	
2019 	427 	1987.5 	0.21 	
2020 	350 	2607.8 	0.13 	
2021 	1347 	2449.2 	0.55 	
2022 	13 	10.8 	1.21 	
