Event	Frequency
COP 11 	39 	
COP 12 	21 	
COP 13 	65 	
COP 14 	44 	
COP 15 	113 	
COP 16 	35 	
COP 17 	215 	
COP 18 	53 	
COP 19 	57 	
COP 20 	61 	
COP 21 	1345 	
COP 22 	472 	
COP 23 	304 	
COP 24 	233 	
COP 25 	321 	
COP 26 	1410 	
