1 		  CLIMATE 	51 	  	1202767 	0.00 	8.32 	
2 		  KATOWICE 	28 	  	3569 	0.78 	15.85 	
3 		  CONFERENCE 	28 	  	1752286 	0.00 	6.91 	
4 		  SUMMIT 	25 	  	532400 	0.00 	8.47 	
5 		  PARTIES 	24 	  	1475433 	0.00 	6.94 	
6 		  CHANGE 	21 	  	4516379 	0.00 	5.13 	
7 		  POLAND 	20 	  	169383 	0.01 	9.80 	
8 		  KNOWN 	10 	  	2725592 	0.00 	4.79 	
9 		  2018 	10 	  	3247976 	0.00 	4.54 	
10 		  UN 	9 	  	631318 	0.00 	6.75 	
11 		  PARIS 	8 	  	677071 	0.00 	6.48 	
12 		  AHEAD 	8 	  	2198744 	0.00 	4.78 	
13 		  AGREEMENT 	7 	  	1492437 	0.00 	5.14 	
14 		  HELD 	7 	  	2998712 	0.00 	4.14 	
15 		  UNFCCC 	6 	  	5068 	0.12 	13.12 	
16 		  24TH 	6 	  	80280 	0.01 	9.14 	
17 		  KICKS 	5 	  	155151 	0.00 	7.92 	
18 		  TALKS 	5 	  	952802 	0.00 	5.31 	
19 		  AFRICA 	5 	  	2557766 	0.00 	3.88 	
20 		  MEETING 	5 	  	2894214 	0.00 	3.70 	
21 		  COMMONLY 	4 	  	170252 	0.00 	7.47 	
22 		  UPCOMING 	4 	  	666939 	0.00 	5.50 	
23 		  HOST 	4 	  	1011644 	0.00 	4.90 	
24 		  23 	4 	  	1107344 	0.00 	4.77 	
25 		  NATIONS 	4 	  	1122534 	0.00 	4.75 	
26 		  MEET 	4 	  	1818558 	0.00 	4.05 	
27 		  SEVEN 	4 	  	1954462 	0.00 	3.95 	
28 		  GLOBAL 	4 	  	3665331 	0.00 	3.04 	
29 		  LWF 	3 	  	1232 	0.24 	14.16 	
30 		  NEGOTIATORS 	3 	  	37900 	0.01 	9.22 	
31 		  DELEGATE 	3 	  	42941 	0.01 	9.04 	
32 		  FAILED 	3 	  	1294837 	0.00 	4.13 	
33 		  TOWARDS 	3 	  	1708294 	0.00 	3.73 	
34 		  RELEASED 	3 	  	2183987 	0.00 	3.37 	
35 		  KURTYKA 	2 	  	211 	0.95 	16.12 	
36 		  PRESIDENCIES 	2 	  	3274 	0.06 	12.17 	
37 		  TOBIKO 	2 	  	3924 	0.05 	11.91 	
38 		  JUST-CONCLUDED 	2 	  	5738 	0.03 	11.36 	
39 		  MICHAL 	2 	  	8607 	0.02 	10.77 	
40 		  SCHWARZENEGGER 	2 	  	19633 	0.01 	9.58 	
41 		  SCHNEIDER 	2 	  	43282 	0.00 	8.44 	
42 		  UTILISE 	2 	  	51202 	0.00 	8.20 	
43 		  FINALISED 	2 	  	75744 	0.00 	7.64 	
44 		  ARNOLD 	2 	  	81935 	0.00 	7.52 	
45 		  SIDELINES 	2 	  	119243 	0.00 	6.98 	
46 		  ATTENDEES 	2 	  	120625 	0.00 	6.97 	
47 		  INFORMAL 	2 	  	144855 	0.00 	6.70 	
48 		  DELEGATES 	2 	  	165834 	0.00 	6.51 	
49 		  DELEGATION 	2 	  	206184 	0.00 	6.19 	
50 		  CREDIBLE 	2 	  	207655 	0.00 	6.18 	
51 		  INDONESIA 	2 	  	343638 	0.00 	5.45 	
52 		  MOMENTUM 	2 	  	347513 	0.00 	5.44 	
53 		  DIALOGUE 	2 	  	354037 	0.00 	5.41 	
54 		  CONVENTION 	2 	  	405305 	0.00 	5.22 	
55 		  NEGOTIATIONS 	2 	  	414928 	0.00 	5.18 	
56 		  IMPLEMENTATION 	2 	  	546298 	0.00 	4.79 	
57 		  TEXT 	2 	  	551934 	0.00 	4.77 	
58 		  MEETINGS 	2 	  	574426 	0.00 	4.71 	
59 		  ATTENDED 	2 	  	595437 	0.00 	4.66 	
60 		  ADVANCED 	2 	  	620838 	0.00 	4.60 	
61 		  CEREMONY 	2 	  	655463 	0.00 	4.52 	
62 		  SCHEDULED 	2 	  	829253 	0.00 	4.18 	
63 		  AGREED 	2 	  	1035865 	0.00 	3.86 	
64 		  FILE 	2 	  	1111059 	0.00 	3.76 	
65 		  ENDED 	2 	  	1210684 	0.00 	3.64 	
66 		  WELCOME 	2 	  	1283499 	0.00 	3.55 	
67 		  NOTED 	2 	  	1284562 	0.00 	3.55 	
68 		  OPENING 	2 	  	1394991 	0.00 	3.43 	
69 		  GOES 	2 	  	1494029 	0.00 	3.33 	
70 		  GREENFAITH 	1 	  	49 	2.04 	17.23 	
71 		  AFRIL 	1 	  	218 	0.46 	15.08 	
