1 		  CLIMATE 	334 	  	1202767 	0.03 	8.44 	
2 		  GLASGOW 	237 	  	141391 	0.17 	11.04 	
3 		  CONFERENCE 	196 	  	1752286 	0.01 	7.13 	
4 		  CHANGE 	178 	  	4516379 	0.00 	5.63 	
5 		  SUMMIT 	147 	  	532400 	0.03 	8.44 	
6 		  PARTIES 	66 	  	1475433 	0.00 	5.81 	
7 		  UN 	58 	  	631318 	0.01 	6.85 	
8 		  26TH 	57 	  	80944 	0.07 	9.79 	
9 		  VENUE 	57 	  	360466 	0.02 	7.63 	
10 		  NOVEMBER 	42 	  	2023572 	0.00 	4.70 	
11 		  AHEAD 	40 	  	2198744 	0.00 	4.51 	
12 		  MEETING 	33 	  	2894214 	0.00 	3.84 	
13 		  UK 	32 	  	2199645 	0.00 	4.19 	
14 		  HELD 	28 	  	2998712 	0.00 	3.55 	
15 		  NATIONS 	25 	  	1122534 	0.00 	4.80 	
16 		  UNITED 	25 	  	3884550 	0.00 	3.01 	
17 		  TALKS 	24 	  	952802 	0.00 	4.98 	
18 		  EVENT 	20 	  	2897583 	0.00 	3.11 	
19 		  HOSTING 	18 	  	272464 	0.01 	6.37 	
20 		  KNOWN 	18 	  	2725592 	0.00 	3.05 	
21 		  UNFCCC 	17 	  	5068 	0.34 	12.04 	
22 		  LEADERS 	17 	  	2159514 	0.00 	3.30 	
23 		  ACTION 	17 	  	2638909 	0.00 	3.02 	
24 		  SCOTLAND 	16 	  	520305 	0.00 	5.27 	
25 		  SIDELINES 	15 	  	119243 	0.01 	7.30 	
26 		  2021 	14 	  	672418 	0.00 	4.71 	
27 		  HOST 	13 	  	1011644 	0.00 	4.01 	
28 		  RUN-UP 	12 	  	53649 	0.02 	8.13 	
29 		  PREPARATIONS 	12 	  	140736 	0.01 	6.74 	
30 		  ATTENDING 	12 	  	321376 	0.00 	5.55 	
31 		  UPCOMING 	12 	  	666939 	0.00 	4.50 	
32 		  AGREEMENT 	12 	  	1492437 	0.00 	3.33 	
33 		  PARIS 	11 	  	677071 	0.00 	4.35 	
34 		  GOALS 	11 	  	1322402 	0.00 	3.38 	
35 		  U.N 	10 	  	101757 	0.01 	6.95 	
36 		  ATTEND 	10 	  	602942 	0.00 	4.38 	
37 		  DRAWS 	9 	  	175075 	0.01 	6.01 	
38 		  COMMITMENTS 	9 	  	178977 	0.01 	5.98 	
39 		  SHARMA 	9 	  	237175 	0.00 	5.57 	
40 		  CONCERNING 	9 	  	238932 	0.00 	5.56 	
41 		  OUTCOMES 	9 	  	295712 	0.00 	5.26 	
42 		  INSIGHT 	9 	  	301080 	0.00 	5.23 	
43 		  NEGOTIATIONS 	9 	  	414928 	0.00 	4.77 	
44 		  OUTCOME 	9 	  	476525 	0.00 	4.57 	
45 		  SCHEDULED 	9 	  	829253 	0.00 	3.77 	
46 		  ONGOING 	9 	  	936293 	0.00 	3.59 	
47 		  ALOK 	8 	  	18188 	0.04 	9.11 	
48 		  CONCLUDED 	8 	  	443554 	0.00 	4.50 	
49 		  AGENDA 	8 	  	499308 	0.00 	4.33 	
50 		  PREPARE 	8 	  	507358 	0.00 	4.31 	
51 		  CRUCIAL 	8 	  	569898 	0.00 	4.14 	
52 		  FINANCE 	8 	  	1231219 	0.00 	3.03 	
53 		  AMBITIONS 	7 	  	121140 	0.01 	6.18 	
54 		  DELEGATION 	7 	  	206184 	0.00 	5.41 	
55 		  PRESIDENCY 	7 	  	319343 	0.00 	4.78 	
56 		  EXPECTATIONS 	7 	  	627923 	0.00 	3.81 	
57 		  EMISSIONS 	6 	  	396754 	0.00 	4.25 	
58 		  AFFORD 	6 	  	440560 	0.00 	4.10 	
59 		  MEETINGS 	6 	  	574426 	0.00 	3.71 	
60 		  COMMITMENT 	6 	  	801928 	0.00 	3.23 	
61 		  PAVILION 	5 	  	62253 	0.01 	6.66 	
62 		  PARTICIPATING 	5 	  	543782 	0.00 	3.53 	
63 		  HOUPT 	4 	  	258 	1.55 	14.25 	
64 		  GHAZOUANI 	4 	  	467 	0.86 	13.39 	
65 		  OULD 	4 	  	3075 	0.13 	10.67 	
66 		  ATTENDS 	4 	  	60083 	0.01 	6.38 	
67 		  G20 	4 	  	67372 	0.01 	6.22 	
68 		  REVELATIONS 	4 	  	87572 	0.00 	5.84 	
69 		  HIGH-LEVEL 	4 	  	90559 	0.00 	5.79 	
70 		  CREDENTIALS 	4 	  	138810 	0.00 	5.18 	
71 		  EMMA 	4 	  	156088 	0.00 	5.01 	
72 		  DELEGATES 	4 	  	165834 	0.00 	4.92 	
73 		  PLEDGED 	4 	  	190180 	0.00 	4.72 	
74 		  DECLARATION 	4 	  	255619 	0.00 	4.30 	
75 		  ENTITLED 	4 	  	298091 	0.00 	4.07 	
76 		  MOMENTUM 	4 	  	347513 	0.00 	3.85 	
77 		  SO-CALLED 	4 	  	351726 	0.00 	3.84 	
78 		  PARTICIPATION 	4 	  	377453 	0.00 	3.73 	
79 		  TARGETS 	4 	  	449116 	0.00 	3.48 	
80 		  ADVANCE 	4 	  	527341 	0.00 	3.25 	
81 		  CVF 	3 	  	660 	0.45 	12.48 	
82 		  SEVEN-POINT 	3 	  	7629 	0.04 	8.95 	
83 		  G7 	3 	  	35774 	0.01 	6.72 	
84 		  SUMMED 	3 	  	41922 	0.01 	6.49 	
85 		  AKUFO-ADDO 	3 	  	77788 	0.00 	5.60 	
86 		  CONFERENCES 	3 	  	121026 	0.00 	4.96 	
87 		  ANNOUNCEMENTS 	3 	  	126509 	0.00 	4.90 	
88 		  FORTHCOMING 	3 	  	149116 	0.00 	4.66 	
89 		  FOSSIL 	3 	  	149740 	0.00 	4.65 	
90 		  KICKS 	3 	  	155151 	0.00 	4.60 	
91 		  VENUES 	3 	  	181464 	0.00 	4.37 	
92 		  ELIMINATE 	3 	  	185631 	0.00 	4.34 	
93 		  INCHES 	3 	  	198208 	0.00 	4.25 	
94 		  URGE 	3 	  	219788 	0.00 	4.10 	
95 		  AMBITIOUS 	3 	  	232306 	0.00 	4.02 	
96 		  GATHER 	3 	  	278268 	0.00 	3.76 	
97 		  TOKYO 	3 	  	284065 	0.00 	3.73 	
98 		  RECOGNIZED 	3 	  	296887 	0.00 	3.66 	
99 		  HOSTS 	3 	  	329245 	0.00 	3.52 	
100 		  GATHERING 	3 	  	381398 	0.00 	3.30
