Year	Month	websites	texts	words
2012 	Mar 	2,634 	44,053 	31,413,667 	
2012 	Feb 	2,599 	41,073 	29,369,530 	
2012 	Jan 	2,662 	42,829 	29,808,871 	
2011 	Dec 	2,543 	35,442 	24,903,782 	
2011 	Nov 	2,571 	38,429 	26,663,514 	
2011 	Oct 	2,498 	39,113 	27,265,935 	
2011 	Sep 	2,620 	41,415 	28,495,087 	
2011 	Aug 	2,551 	39,325 	26,933,559 	
2011 	Jul 	2,486 	37,114 	25,705,937 	
2011 	Jun 	2,560 	37,561 	26,380,469 	
2011 	May 	2,538 	36,423 	25,388,084 	
2011 	Apr 	2,456 	33,558 	23,401,655 	
2011 	Mar 	2,456 	35,783 	24,536,278 	
2011 	Feb 	2,399 	31,771 	22,101,280 	
2011 	Jan 	2,488 	33,543 	23,252,204 	
2010 	Dec 	2,306 	28,800 	20,215,660 	
2010 	Nov 	2,314 	31,736 	22,164,625 	
2010 	Oct 	2,369 	32,436 	22,953,072 	
2010 	Sep 	2,331 	30,940 	21,760,681 	
2010 	Aug 	2,262 	30,643 	21,362,443 	
2010 	Jul 	2,243 	30,014 	20,741,627 	
2010 	Jun 	2,261 	29,974 	21,080,068 	
2010 	May 	2,186 	27,492 	19,746,492 	
2010 	Apr 	2,199 	27,164 	19,358,887 	
2010 	Mar 	2,266 	28,243 	19,526,403 	
2010 	Feb 	2,136 	25,043 	17,743,013 	
2010 	Jan 	2,171 	25,680 	17,702,209 	
