1 		  WARSAW 	13 	  	34993 	0.04 	13.47 	
2 		  ( 	12 	  	42632855 	0.00 	3.10 	
3 		  ) 	12 	  	43067744 	0.00 	3.09 	
4 		  CLIMATE 	8 	  	1202767 	0.00 	7.67 	
5 		  CONFERENCE 	8 	  	1752286 	0.00 	7.12 	
6 		  PARTIES 	7 	  	1475433 	0.00 	7.18 	
7 		  HELD 	5 	  	2998712 	0.00 	5.67 	
8 		  POLAND 	4 	  	169383 	0.00 	9.49 	
9 		  SUMMIT 	4 	  	532400 	0.00 	7.84 	
10 		  TALKS 	4 	  	952802 	0.00 	7.00 	
11 		  2013 	4 	  	1512473 	0.00 	6.34 	
12 		  UNFCCC 	3 	  	5068 	0.06 	14.14 	
13 		  VENEZUELA 	2 	  	138911 	0.00 	8.78 	
14 		  MECHANISM 	2 	  	243851 	0.00 	7.97 	
15 		  NATIONS 	2 	  	1122534 	0.00 	5.77 	
16 		  KNOWN 	2 	  	2725592 	0.00 	4.49 	
17 		  AGO 	2 	  	3095076 	0.00 	4.30 	
18 		  CHANGE 	2 	  	4516379 	0.00 	3.76 	
19 		  16.57 	1 	  	264 	0.38 	16.82 	
20 		  GAVELS 	1 	  	400 	0.25 	16.22 	
21 		  30-STRONG 	1 	  	741 	0.13 	15.33 	
22 		  SILVERS 	1 	  	7106 	0.01 	12.07 	
23 		  QS 	1 	  	10702 	0.01 	11.48 	
24 		  REES 	1 	  	17669 	0.01 	10.75 	
25 		  LOBBYISTS 	1 	  	28685 	0.00 	10.06 	
26 		  NCR 	1 	  	32936 	0.00 	9.86 	
27 		  PLENARY 	1 	  	40320 	0.00 	9.56 	
28 		  DOHA 	1 	  	48029 	0.00 	9.31 	
29 		  RUN-UP 	1 	  	53649 	0.00 	9.15 	
30 		  CITES 	1 	  	63456 	0.00 	8.91 	
31 		  GENEVA 	1 	  	98888 	0.00 	8.27 	
32 		  SLAMMED 	1 	  	118904 	0.00 	8.00 	
33 		  PARALLEL 	1 	  	143390 	0.00 	7.73 	
34 		  COMPRISING 	1 	  	164973 	0.00 	7.53 	
35 		  DELEGATES 	1 	  	165834 	0.00 	7.52 	
36 		  DELEGATION 	1 	  	206184 	0.00 	7.21 	
37 		  STANCE 	1 	  	222492 	0.00 	7.10 	
38 		  UNDERWAY 	1 	  	258429 	0.00 	6.88 	
39 		  PLEADED 	1 	  	278117 	0.00 	6.78 	
40 		  SEEKS 	1 	  	288350 	0.00 	6.73 	
41 		  BEGUN 	1 	  	303599 	0.00 	6.65 	
42 		  PROMINENT 	1 	  	341483 	0.00 	6.48 	
43 		  EMISSIONS 	1 	  	396754 	0.00 	6.27 	
44 		  MADRID 	1 	  	396898 	0.00 	6.27 	
45 		  WALKED 	1 	  	410524 	0.00 	6.22 	
46 		  OFFICIALLY 	1 	  	412453 	0.00 	6.21 	
47 		  NEGOTIATIONS 	1 	  	414928 	0.00 	6.20 	
48 		  BEGINS 	1 	  	424607 	0.00 	6.17 	
49 		  PROVED 	1 	  	461779 	0.00 	6.05 	
50 		  CONCEPT 	1 	  	544595 	0.00 	5.81 	
51 		  ATTEND 	1 	  	602942 	0.00 	5.66 	
52 		  UN 	1 	  	631318 	0.00 	5.60 	
53 		  NOV 	1 	  	634193 	0.00 	5.59 	
54 		  TREND 	1 	  	636500 	0.00 	5.58 	
55 		  TOWARD 	1 	  	678378 	0.00 	5.49 	
56 		  TRUTH 	1 	  	777093 	0.00 	5.30 	
57 		  2008 	1 	  	779556 	0.00 	5.29 	
58 		  ENVIRONMENTAL 	1 	  	833155 	0.00 	5.20 	
59 		  ONGOING 	1 	  	936293 	0.00 	5.03 	
60 		  SOLUTIONS 	1 	  	978038 	0.00 	4.96 	
61 		  BEGINNING 	1 	  	1003250 	0.00 	4.93 	
62 		  ORGANIZATION 	1 	  	1016003 	0.00 	4.91 	
63 		  DEAD 	1 	  	1200823 	0.00 	4.67 	
64 		  ENDED 	1 	  	1210684 	0.00 	4.66 	
65 		  LAUNCHED 	1 	  	1264774 	0.00 	4.59 	
66 		  MOVING 	1 	  	1297103 	0.00 	4.56 	
67 		  GAS 	1 	  	1332000 	0.00 	4.52 	
68 		  PM 	1 	  	1356725 	0.00 	4.49 	
69 		  GIVING 	1 	  	1474436 	0.00 	4.37 	
70 		  ROUND 	1 	  	1530722 	0.00 	4.32 	
71 		  CONTINUED 	1 	  	1579490 	0.00 	4.27 	
72 		  ASSOCIATION 	1 	  	1645356 	0.00 	4.21 	
73 		  TELL 	1 	  	1787293 	0.00 	4.09 	
74 		  ADDRESS 	1 	  	1903449 	0.00 	4.00 	
75 		  11 	1 	  	1970868 	0.00 	3.95 	
