1 		  ( 	203 	  	42632855 	0.00 	4.15 	
2 		  ) 	202 	  	43067744 	0.00 	4.13 	
3 		  PARTIES 	181 	  	1475433 	0.01 	8.84 	
4 		  CONFERENCE 	60 	  	1752286 	0.00 	7.00 	
5 		  MARRAKECH 	46 	  	6262 	0.73 	14.74 	
6 		  CLIMATE 	45 	  	1202767 	0.00 	7.13 	
7 		  CHANGE 	27 	  	4516379 	0.00 	4.48 	
8 		  MOROCCO 	21 	  	86962 	0.02 	9.82 	
9 		  MARRAKESH 	17 	  	3913 	0.43 	13.99 	
10 		  NOVEMBER 	11 	  	2023572 	0.00 	4.34 	
11 		  AFRICA 	11 	  	2557766 	0.00 	4.01 	
12 		  COMMEMORATION 	9 	  	44827 	0.02 	9.55 	
13 		  THEME 	9 	  	420923 	0.00 	6.32 	
14 		  AHEAD 	8 	  	2198744 	0.00 	3.76 	
15 		  MEETING 	8 	  	2894214 	0.00 	3.37 	
16 		  2016 	8 	  	3563473 	0.00 	3.07 	
17 		  SEGMENT 	7 	  	431351 	0.00 	5.92 	
18 		  LEVEL 	7 	  	3009254 	0.00 	3.12 	
19 		  UN 	6 	  	631318 	0.00 	5.15 	
20 		  BEGAN 	6 	  	1726720 	0.00 	3.70 	
21 		  KNOWN 	6 	  	2725592 	0.00 	3.04 	
22 		  MEZOUAR 	5 	  	171 	2.92 	16.74 	
23 		  SUMMIT 	5 	  	532400 	0.00 	5.13 	
24 		  PARIS 	5 	  	677071 	0.00 	4.79 	
25 		  SESSION 	5 	  	847785 	0.00 	4.46 	
26 		  TALKS 	5 	  	952802 	0.00 	4.29 	
27 		  LAUNCHED 	5 	  	1264774 	0.00 	3.88 	
28 		  PAKISTAN 	5 	  	2312999 	0.00 	3.01 	
29 		  UNFCCC 	4 	  	5068 	0.08 	11.53 	
30 		  CONJUNCTION 	4 	  	107545 	0.00 	7.12 	
31 		  ATTENDING 	4 	  	321376 	0.00 	5.54 	
32 		  BEGINS 	4 	  	424607 	0.00 	5.14 	
33 		  HOST 	4 	  	1011644 	0.00 	3.88 	
34 		  IISD 	3 	  	1679 	0.18 	12.70 	
35 		  CMP 	3 	  	7077 	0.04 	10.63 	
36 		  NEGOTIATORS 	3 	  	37900 	0.01 	8.21 	
37 		  22ND 	3 	  	80829 	0.00 	7.12 	
38 		  NEGOTIATIONS 	3 	  	414928 	0.00 	4.76 	
39 		  REPRESENTING 	3 	  	425015 	0.00 	4.72 	
40 		  AGENDA 	3 	  	499308 	0.00 	4.49 	
41 		  UPCOMING 	3 	  	666939 	0.00 	4.07 	
42 		  COVERAGE 	3 	  	751155 	0.00 	3.90 	
43 		  OPENED 	3 	  	1103159 	0.00 	3.34 	
44 		  21 	3 	  	1240682 	0.00 	3.18 	
45 		  SALAHEDDINE 	2 	  	360 	0.56 	14.34 	
46 		  COP21 	2 	  	5330 	0.04 	10.45 	
47 		  PAVILION 	2 	  	62253 	0.00 	6.91 	
48 		  BILLED 	2 	  	66118 	0.00 	6.82 	
49 		  STAGING 	2 	  	74645 	0.00 	6.65 	
50 		  HIGH-LEVEL 	2 	  	90559 	0.00 	6.37 	
51 		  MINISTERIAL 	2 	  	96161 	0.00 	6.28 	
52 		  2025 	2 	  	131982 	0.00 	5.82 	
