1 		  PARIS 	336 	  	677071 	0.05 	9.35 	
2 		  CLIMATE 	259 	  	1202767 	0.02 	8.15 	
3 		  KNOWN 	242 	  	2725592 	0.01 	6.87 	
4 		  ALSO 	235 	  	25265581 	0.00 	3.61 	
5 		  FAST 	223 	  	992525 	0.02 	8.21 	
6 		  CONFERENCE 	197 	  	1752286 	0.01 	7.21 	
7 		  CHANGE 	116 	  	4516379 	0.00 	5.08 	
8 		  PARTIES 	97 	  	1475433 	0.01 	6.43 	
9 		  AGREEMENT 	85 	  	1492437 	0.01 	6.23 	
10 		  2015 	64 	  	2506306 	0.00 	5.07 	
11 		  SUMMIT 	61 	  	532400 	0.01 	7.24 	
12 		  TALKS 	46 	  	952802 	0.00 	5.99 	
13 		  UNITED 	35 	  	3884550 	0.00 	3.57 	
14 		  NEGOTIATIONS 	33 	  	414928 	0.01 	6.71 	
15 		  NATIONS 	33 	  	1122534 	0.00 	5.27 	
16 		  DECEMBER 	29 	  	2154016 	0.00 	4.15 	
17 		  MEETING 	26 	  	2894214 	0.00 	3.56 	
18 		  UN 	25 	  	631318 	0.00 	5.70 	
19 		  RECENT 	23 	  	3237741 	0.00 	3.22 	
20 		  COMMITMENTS 	22 	  	178977 	0.01 	7.34 	
21 		  AHEAD 	22 	  	2198744 	0.00 	3.72 	
22 		  HELD 	19 	  	2998712 	0.00 	3.06 	
23 		  COMMITMENT 	14 	  	801928 	0.00 	4.52 	
24 		  GOALS 	13 	  	1322402 	0.00 	3.69 	
25 		  REACHED 	12 	  	1084843 	0.00 	3.86 	
26 		  196 	10 	  	15653 	0.06 	9.72 	
27 		  21ST 	10 	  	206105 	0.00 	6.00 	
28 		  SUCCESS 	10 	  	1632180 	0.00 	3.01 	
29 		  EMISSIONS 	9 	  	396754 	0.00 	4.90 	
30 		  FORTHCOMING 	8 	  	149116 	0.01 	6.14 	
31 		  TARGETS 	8 	  	449116 	0.00 	4.55 	
32 		  FRANCE 	8 	  	1018552 	0.00 	3.37 	
33 		  AGREED 	8 	  	1035865 	0.00 	3.34 	
34 		  SIDELINES 	7 	  	119243 	0.01 	6.27 	
35 		  ATTEND 	7 	  	602942 	0.00 	3.93 	
36 		  ACHIEVE 	7 	  	787244 	0.00 	3.55 	
37 		  RUN-UP 	6 	  	53649 	0.01 	7.20 	
38 		  TREATY 	6 	  	175364 	0.00 	5.49 	
39 		  AGREEMENTS 	6 	  	292909 	0.00 	4.75 	
40 		  ADOPTED 	6 	  	393927 	0.00 	4.32 	
41 		  MEETINGS 	6 	  	574426 	0.00 	3.78 	
42 		  SUSTAINABLE 	6 	  	637423 	0.00 	3.63 	
43 		  FABIUS 	5 	  	1974 	0.25 	11.70 	
44 		  LAURENT 	5 	  	37414 	0.01 	7.46 	
45 		  NEGOTIATORS 	5 	  	37900 	0.01 	7.44 	
46 		  ACCORD 	5 	  	117868 	0.00 	5.80 	
47 		  OBJECTIVES 	5 	  	238064 	0.00 	4.79 	
48 		  OUTCOMES 	5 	  	295712 	0.00 	4.48 	
49 		  CONCLUSION 	5 	  	324381 	0.00 	4.34 	
50 		  HOSTED 	5 	  	379491 	0.00 	4.12 	
51 		  REDUCTION 	5 	  	447250 	0.00 	3.88 	
52 		  ADDRESSED 	5 	  	505000 	0.00 	3.70 	
53 		  PRESENTED 	5 	  	797510 	0.00 	3.04 	
54 		  POSTERS 	4 	  	112170 	0.00 	5.55 	
55 		  SLATED 	4 	  	150336 	0.00 	5.13 	
56 		  DELEGATION 	4 	  	206184 	0.00 	4.67 	
57 		  ATTENDING 	4 	  	321376 	0.00 	4.03 	
58 		  ASSURED 	4 	  	355902 	0.00 	3.89 	
59 		  PREPARING 	4 	  	363006 	0.00 	3.86 	
60 		  OUTCOME 	4 	  	476525 	0.00 	3.47 	
61 		  ELEMENTS 	4 	  	484203 	0.00 	3.44 	
62 		  CARBON 	4 	  	493313 	0.00 	3.42 	
63 		  HISTORIC 	4 	  	509010 	0.00 	3.37 	
64 		  ANV 	3 	  	168 	1.79 	14.52 	
65 		  UNFCC 	3 	  	467 	0.64 	13.04 	
